PredictedFactor,Frequency,InfluenceLevel,Definition,Sowhat?Assumption,Plausibility(plausible/notplausible),Why?reasonforplausibility,Relevance:willitberelevantfortheproblem?,Why?relevancereasoning,Hazard?coulditturnintoahazard?,Whyorhowcanitbehazardous?,,
manual_own_aircraft_flight_path_change,1,0.004464286, Changes to the flight path made manually by the pilot.,The AVP system will accurately account for and integrate manual flight path changes made by the pilot.,Plausible,"Modern systems can accommodate manual changes, though coordination between the pilot and the system is necessary.",Relevant,It is important to maintain flexibility and ensure safe navigation based on the pilot's judgment.,Yes,Poor integration of manual changes can lead to navigation errors and increased collision risk.,,
mechanical_wear_and_tear,1,0.004464286, The degradation of aircraft components over time due to regular use.,"The AVP system will detect and account for mechanical wear and tear, ensuring safe operation.",Plausible,"Regular maintenance and inspections are designed to detect wear and tear, but some issues may still go unnoticed.",Relevant,It is crucial for ensuring the long-term reliability and safety of the aircraft.,Yes,"Undetected wear and tear can lead to component failures, increasing the risk of incidents.",,
military_aircraft_intrusion,1,0.004464286," The presence of military aircraft in the airspace, which can affect civil aviation operations.",The AVP system will detect and account for the presence of military aircraft in the airspace.,Not plausible,Military aircraft can operate unpredictably and may not always be detectable by civilian systems.,Relevant,Important for maintaining situational awareness and avoiding conflicts with military operations.,Yes,Unanticipated military aircraft movements can lead to airspace conflicts and increased collision risk.,,
non_deterministic_intelligent_algorithms,1,0.004464286," Algorithms used in AVP systems that provide outputs not strictly determined by their inputs, often used for complex decision-making processes.",The AVP system’s algorithms will always provide reliable and accurate outputs.,Not plausible,"Non-deterministic algorithms can produce variable outputs, which may not always be reliable.",Relevant,Important for decision-making processes and ensuring the accuracy of the AVP system's recommendations.,Yes,Unreliable algorithm outputs can lead to incorrect decisions and increased risk of collision.,,
other_aircrafts_presence,1,0.004464286, The presence of other aircraft in the vicinity of the own aircraft.,The AVP system will continuously monitor and track other aircraft in the vicinity.,Plausible,"Modern systems are designed to track other aircraft, though sensor limitations and environmental factors can affect accuracy.",Relevant,It is crucial for maintaining situational awareness and preventing mid-air collisions.,Yes,Inaccurate tracking can lead to missed threats and increased collision risk.,,
own_aircraft_altitude,1,0.004464286, The height at which the own aircraft is flying above ground or sea level.,The AVP system will accurately measure and maintain the aircraft's altitude.,Plausible,"Modern flight management systems can manage altitude accurately, though sensor and system limitations can occur.",Relevant,It is crucial to maintain safe separation from other aircraft and ensure efficient navigation and collision avoidance.,Yes,Inaccurate altitude adjustments can lead to unsafe distances between aircraft.,,
own_aircraft_altitude_change,1,0.004464286, Adjustments to the altitude at which the aircraft is flying.,The AVP system will accurately measure and maintain the aircraft's altitude.,Plausible,"Modern flight management systems can manage altitude accurately, though sensor and system limitations can occur.",Relevant,It is crucial to maintain safe separation from other aircraft and ensure efficient navigation and collision avoidance.,Yes,Inaccurate altitude adjustments can lead to unsafe distances between aircraft.,,
own_aircraft_dynamics_change,1,0.004464286, Changes in the flight dynamics of the own aircraft due to various factors.,The AVP system will effectively manage and adapt to changes in flight dynamics.,Plausible,"Modern systems are designed to handle dynamic changes, though extreme or unexpected conditions can pose challenges.",Relevant,It is essential for maintaining flight stability and control under varying conditions.,Yes,Unmanaged dynamic changes can lead to instability and increased collision risk.,,
own_aircraft_flight_management_system_override,1,0.004464286, The ability of the pilot to manually override the automated flight management system.,The AVP system will allow seamless manual override by the pilot when necessary.,Plausible,"Modern systems provide manual override capabilities, though pilot training and system design are crucial.",Relevant,It is essential to allow pilot intervention in critical situations and ensure safety and control.,Yes,The inability to override can lead to loss of control in emergencies.,,
own_aircraft_lidar,1,0.004464286, Lidar systems on the aircraft used for measuring distances and detecting objects by illuminating the target with laser light.,The lidar system will always provide accurate distance measurements and object detection.,Not plausible,Lidar performance can be affected by weather conditions and technical limitations.,Relevant,It is crucial for accurate situational awareness and preventing collisions by detecting objects accurately.,Yes,Inaccurate lidar data can lead to missed or incorrect identification of threats.,,
own_aircraft_pilot_feedback,1,0.004464286, Input or reactions from the pilot in response to the system's performance or alerts.,"The pilot will provide accurate and timely feedback to the AVP system, enhancing its performance.",Not plausible,"Pilots may experience delays or inaccuracies in providing feedback due to high workload or stress, affecting system performance.",Relevant,Important for continuously improving the AVP system’s effectiveness and ensuring timely and accurate responses to potential threats.,Yes,"Inaccurate or delayed feedback can reduce the effectiveness of the AVP system, impacting flight safety.",,
own_aircraft_proximity,1,0.004464286, The distance of the own aircraft from other objects or aircraft.,The AVP system will accurately measure and maintain safe proximity from other objects and planes.,Plausible,"Modern sensors can accurately measure proximity, though environmental factors can sometimes cause inaccuracies.",Relevant,It is essential for maintaining safe separation from other aircraft and preventing collisions.,Yes,Inaccurate proximity measurements can lead to unsafe distances and increased collision risk.,,
own_aircraft_radar,1,0.004464286, Radar systems on the aircraft used for detecting other objects and aircraft in the vicinity.,The radar system will always accurately detect and track objects and other aircraft.,Not plausible,Environmental conditions and technical limitations can affect radar accuracy.,Relevant,It is essential for maintaining situational awareness and avoiding collisions with other aircraft and objects.,Yes,Inaccurate or delayed radar data can lead to missed threats and increased collision risk.,,
own_aircraft_response_time,1,0.004464286, The time it takes for the own aircraft to respond to control inputs or system commands.,The AVP system will ensure minimal response time for control inputs and commands.,Plausible,"Modern aircraft systems are designed for quick response times, though factors such as system lag or pilot reaction time can vary.",Relevant,Crucial for executing timely avoidance manoeuvres and maintaining safe flight operations.,Yes,"Delayed response times can lead to inadequate avoidance manoeuvres, increasing collision risk.",,
own_aircraft_speed_change,1,0.004464286, Adjustments in the speed at which the aircraft is flying.,The AVP system will accurately measure and adjust the aircraft's speed as needed.,Plausible,"Modern flight management systems can manage speed accurately, though sensor and system limitations can occur.",Relevant,Crucial for maintaining safe separation from other aircraft and ensuring efficient navigation and collision avoidance.,Yes,Inaccurate speed adjustments can lead to unsafe distances between aircraft.,,
own_camera,1,0.004464286, Adjustments in the aircraft's yaw (horizontal axis rotation).,"The AVP system will accurately recommend yaw changes, and the aircraft will execute them effectively.",Plausible,"Modern aircraft control systems can execute yaw changes accurately based on AVP recommendations, though pilot input is also crucial.",Relevant,Essential for executing effective avoidance manoeuvres and maintaining safe flight operations.,Yes,"Incorrect yaw changes can lead to ineffective manoeuvres, increasing collision risk.",,
pilot_cognitive_limit,1,0.004464286, Systems designed to alert the pilot about potential threats or necessary actions.,The alerting and warning systems will always function correctly and provide timely alerts.,Plausible,"Modern systems are designed to be reliable, though technical failures and malfunctions can occur.",Relevant,It is essential to ensure the pilot is aware of and can respond to potential threats promptly.,Yes,"Failure of alerting systems can lead to missed threats and delayed responses, increasing collision risk.",,
potential_collision_threat_alert,1,0.004464286," The level of psychological pressure or stress experienced by the pilot, particularly in emergency or demanding situations.",The pilot will maintain composure and effectively manage stress during high-pressure situations.,Not plausible,"High-stress situations can impact a pilot’s decision-making and performance, leading to errors.",Relevant,Stress management is crucial for ensuring effective decision-making and safe flight operations.,Yes,"High stress can lead to errors in judgment and delayed reactions, increasing collision risk.",,
radar_and_visual_range,1,0.004464286, A warning issued when there is a possibility of a collision.,The AVP system will always issue timely and accurate collision threat alerts.,Not plausible,"Sensor limitations, data processing delays, and unforeseen scenarios can affect the accuracy and timeliness of alerts.",Relevant,It is crucial for timely pilot response to avoid collisions and ensure flight safety.,Yes,Delayed or inaccurate alerts can lead to missed threats and increased collision risk.,,
raindrops,1,0.004464286, The range within which objects can be detected either by radar or visually.,The AVP system will effectively utilise radar and visual data to detect objects within range.,Plausible,"Modern radar and visual systems are generally reliable, though environmental factors and technical limitations can impact performance.",Relevant,It is essential for maintaining situational awareness and detecting potential threats accurately.,Yes,Limitations in detection range can lead to missed threats and increased collision risk.,,
risk_of_potential_collision,1,0.004464286, Directions provided by ATC or the flight management system to change the current flight path for safety.,The AVP system will effectively communicate rerouting instructions to the pilot and ATC.,Plausible,"Communication systems are generally reliable, though occasional delays or errors can occur.",Relevant,"Integral for maintaining safe and efficient airspace management, preventing collisions.",Yes,Miscommunication can lead to conflicts and increased collision risk.,,
Stabilised_own_aircraft_dynamics,1,0.004464286," The state of the own aircraft where its flight dynamics (e.g., speed, altitude, direction) are stable and under control.",The aircraft’s dynamics will remain stable and within the controllable limits set by the AVP system during flight.,Plausible,"Aircraft systems are designed to maintain stable flight dynamics, and AVP can assist in managing minor deviations effectively.",Relevant,Stability is essential for accurate sensor data and effective collision avoidance manoeuvres.,Yes,"Unstable dynamics can lead to inaccurate sensor data and ineffective collision avoidance manoeuvres, compromising safety.",,
sun_position,1,0.004464286," The location of the sun in the sky, which can impact sensor performance and pilot visibility.","The AVP system will accurately account for the sun’s position, ensuring effective sensor performance and pilot visibility.",Not plausible,"The sun’s position can significantly challenge sensor accuracy and pilot visibility, particularly during sunrise and sunset.",Relevant,It is essential for ensuring continuous and reliable sensor performance and pilot visibility throughout the flight.,Yes,"Poor accounting for the sun’s position can lead to missed or incorrect identification of threats, increasing collision risk.",,
sunlight,1,0.004464286," Natural light from the sun, influencing visibility and the effectiveness of visual sensors.",The AVP system will mitigate the effects of sunlight glare and changes in natural lighting on sensor performance.,Not plausible,"Sunlight can create significant glare and shadows, impacting sensor performance and visibility.",Relevant,It is crucial for maintaining accurate sensor readings and situational awareness in varying sunlight conditions.,Yes,Glare and shadows can lead to missed or incorrect identification of threats.,,
surrounding_airspace_restrictions,1,0.004464286," Limitations or prohibitions in certain areas of the airspace, affecting flight paths.",The AVP system will always account for and comply with surrounding airspace restrictions.,Plausible,"Modern flight management systems can account for airspace restrictions, though dynamic changes can pose challenges.",Relevant,It is crucial for ensuring compliance with airspace regulations and maintaining safe flight paths.,Yes,Failure to comply with airspace restrictions can lead to regulatory violations and increased collision risk.,,
threat_predictive_model,1,0.004464286," A model used to forecast potential threats, such as collision risks, based on current data and trends.",The threat predictive model will always provide accurate forecasts of potential threats.,Not plausible,"The quality and completeness of the data on which predictive models are based can limit them, leading to inaccuracies.",Relevant,Critical for anticipating collision threats and recommending timely avoidance strategies.,Yes,"Inaccurate threat predictions can lead to delayed or inappropriate responses, increasing collision risk.",,
unpredictable_other_aircrafts_decision,1,0.004464286, Erratic or unforeseen decisions made by other aircraft in the vicinity.,The AVP system will anticipate and adapt to unpredictable decisions by other aircraft.,Not plausible,Predicting the behaviour of other aircraft can be challenging due to the variability and unpredictability of human actions.,Relevant,It is important for maintaining situational awareness and ensuring safe navigation amidst other aircraft.,Yes,Unanticipated decisions by other aircraft can lead to conflicts and increased collision risk.,,
unsafe_proximity,1,0.004464286, A distance between two aircraft that is considered dangerously close.,The AVP system will accurately detect and alert the pilot to any unsafe proximity situations.,Not plausible,Sensor limitations and environmental factors can impact the accuracy of proximity detection.,Relevant,It is crucial for preventing mid-air collisions and ensuring safe separation between aircraft.,Yes,Inaccurate detection can lead to missed threats and increased collision risk.,,
weather_conditions_change,1,0.004464286, Variations in weather conditions that can affect flight dynamics and sensor operation.,The AVP system will continuously monitor and adapt to changing weather conditions.,Not plausible,Weather conditions can change unpredictably and can significantly impact sensor performance and flight stability.,Relevant,It is essential for maintaining accurate sensor readings and safe navigation under varying weather conditions.,Yes,Unaccounted weather changes can lead to poor sensor performance and increased risk of incidents.,,
weather_data_change,1,0.004464286, Alterations in the weather data being received and processed.,The AVP system will ensure accurate and up-to-date weather data processing.,Plausible,"Modern systems are designed to process weather data accurately, though data reliability can vary.",Relevant,"Crucial for flight planning and decision-making, impacting safety and navigation.",Yes,Inaccurate weather data can lead to poor decision-making and increased risk of weather-related incidents.,,
wind,1,0.004464286," Atmospheric wind conditions, which can affect flight dynamics and sensor operation.",The AVP system will effectively account for and mitigate the effects of wind on flight dynamics and sensor operation.,Not plausible,Wind conditions can change unpredictably and significantly impact flight stability and sensor performance.,Relevant,Important for maintaining flight stability and ensuring accurate sensor readings and effective navigation.,Yes,"Unaccounted wind effects can lead to instability and incorrect sensor data, increasing collision risk.",,
wind_shear_effect_on_camera,1,0.004464286, The impact of sudden changes in wind speed or direction on the operation of onboard cameras.,The AVP system will effectively account for and mitigate the impact of wind shear on camera operation.,Not plausible,"Wind shear can cause sudden and significant changes in flight dynamics, impacting the stability and performance of onboard cameras.",Relevant,Important for ensuring accurate visual information and maintaining situational awareness during changing wind conditions.,Yes,"Wind shear can lead to unstable camera footage, reducing the effectiveness of visual sensors.",,
